"","mpg","cylinders","displacement","horsepower","weight","acceleration","year","origin","name"
"4",16,8,304,150,3433,12,70,1,"amc rebel sst"
"9",14,8,455,225,4425,10,70,1,"pontiac catalina"
"10",15,8,390,190,3850,8.5,70,1,"amc ambassador dpl"
"13",15,8,400,150,3761,9.5,70,1,"chevrolet monte carlo"
"14",14,8,455,225,3086,10,70,1,"buick estate wagon (sw)"
"16",22,6,198,95,2833,15.5,70,1,"plymouth duster"
"23",25,4,104,95,2375,17.5,70,2,"saab 99e"
"28",11,8,318,210,4382,13.5,70,1,"dodge d200"
"30",27,4,97,88,2130,14.5,71,3,"datsun pl510"
"34",16,6,225,105,3439,15.5,71,1,"plymouth satellite custom"
"36",19,6,250,88,3302,15.5,71,1,"ford torino 500"
"37",18,6,232,100,3288,15.5,71,1,"amc matador"
"39",14,8,400,175,4464,11.5,71,1,"pontiac catalina brougham"
"44",13,8,400,175,5140,12,71,1,"pontiac safari (sw)"
"48",18,6,250,88,3139,14.5,71,1,"ford mustang"
"59",23,4,97,54,2254,23.5,72,2,"volkswagen type 3"
"69",12,8,350,160,4456,13.5,72,1,"oldsmobile delta 88 royale"
"71",19,3,70,97,2330,13.5,72,3,"mazda rx2 coupe"
"74",13,8,302,140,4294,16,72,1,"ford gran torino (sw)"
"75",14,8,318,150,4077,14,72,1,"plymouth satellite custom (sw)"
"78",21,4,120,87,2979,19.5,72,2,"peugeot 504 (sw)"
"80",22,4,122,86,2395,16,72,1,"ford pinto (sw)"
"84",27,4,97,88,2100,16.5,72,3,"toyota corolla 1600 (sw)"
"88",14,8,302,137,4042,14.5,73,1,"ford gran torino"
"89",15,8,318,150,3777,12.5,73,1,"dodge coronet custom"
"90",12,8,429,198,4952,11.5,73,1,"mercury marquis brougham"
"93",14,8,318,150,4237,14.5,73,1,"plymouth fury gran sedan"
"96",13,8,360,175,3821,11,73,1,"amc ambassador brougham"
"97",18,6,225,105,3121,16.5,73,1,"plymouth valiant"
"98",16,6,250,100,3278,18,73,1,"chevrolet nova custom"
"102",26,4,97,46,1950,21,73,2,"volkswagen super beetle"
"103",11,8,400,150,4997,14,73,1,"chevrolet impala"
"108",20,4,97,88,2279,19,73,3,"toyota carina"
"109",21,4,140,72,2401,19.5,73,1,"chevrolet vega"
"110",22,4,108,94,2379,16.5,73,3,"datsun 610"
"115",15,8,350,145,4082,13,73,1,"chevrolet monte carlo s"
"118",24,4,116,75,2158,15.5,73,2,"opel manta"
"122",24,4,121,110,2660,14,73,2,"saab 99le"
"124",11,8,350,180,3664,11,73,1,"oldsmobile omega"
"128",31,4,79,67,1950,19,74,3,"datsun b210"
"130",32,4,71,65,1836,21,74,3,"toyota corolla 1200"
"133",16,6,258,110,3632,18,74,1,"amc matador"
"140",29,4,98,83,2219,16.5,74,2,"audi fox"
"142",26,4,97,78,2300,14.5,74,2,"opel manta"
"145",28,4,90,75,2125,14.5,74,1,"dodge colt"
"146",24,4,90,75,2108,15.5,74,2,"fiat 128"
"149",26,4,108,93,2391,15.5,74,3,"subaru"
"151",19,6,225,95,3264,16,75,1,"plymouth valiant custom"
"153",15,6,250,72,3432,21,75,1,"mercury monarch"
"159",17,6,231,110,3907,21,75,1,"buick century"
"160",16,6,250,105,3897,18.5,75,1,"chevroelt chevelle malibu"
"161",15,6,258,110,3730,19,75,1,"amc matador"
"162",18,6,225,95,3785,19,75,1,"plymouth fury"
"163",21,6,231,110,3039,15,75,1,"buick skyhawk"
