"","mpg","cylinders","displacement","horsepower","weight","acceleration","year","origin","name"
"112",19,4,122,85,2310,18.5,73,1,"ford pinto"
"38",14,8,350,165,4209,12,71,1,"chevrolet impala"
"291",18.5,8,360,150,3940,13,79,1,"chrysler lebaron town @ country (sw)"
"392",31,4,119,82,2720,19.4,82,1,"chevy s-10"
"191",22,6,250,105,3353,14.5,76,1,"chevrolet nova"
"376",36,4,107,75,2205,14.5,82,3,"honda accord"
"169",23,4,140,78,2592,18.5,75,1,"pontiac astro"
"314",24.3,4,151,90,3003,20.1,80,1,"amc concord"
"40",14,8,351,153,4154,13.5,71,1,"ford galaxie 500"
"341",39,4,86,64,1875,16.4,81,1,"plymouth champ"
"309",38.1,4,89,60,1968,18.8,80,3,"toyota corolla tercel"
"206",20,4,130,102,3150,15.7,76,2,"volvo 245"
"358",24.2,6,146,120,2930,13.8,81,3,"datsun 810 maxima"
"22",24,4,107,90,2430,14.5,70,2,"audi 100 ls"
"126",19,6,232,100,2901,16,74,1,"amc hornet"
"194",29,4,85,52,2035,22.2,76,1,"chevrolet chevette"
"287",18.2,8,318,135,3830,15.2,79,1,"dodge st. regis"
"68",13,8,350,155,4502,13.5,72,1,"buick lesabre custom"
"18",21,6,200,85,2587,16,70,1,"ford maverick"
"76",18,4,121,112,2933,14.5,72,2,"volvo 145e (sw)"
"196",29,4,90,70,1937,14.2,76,2,"vw rabbit"
"26",10,8,360,215,4615,14,70,1,"ford f250"
"281",22.3,4,140,88,2890,17.3,79,1,"ford fairmont 4"
"116",16,8,400,230,4278,9.5,73,1,"pontiac grand prix"
"15",24,4,113,95,2372,15,70,3,"toyota corona mark ii"
"384",22,6,232,112,2835,14.7,82,1,"ford granada l"
"264",17.5,8,318,140,4080,13.7,78,1,"dodge magnum xe"
"86",14,8,304,150,3672,11.5,73,1,"amc matador"
"207",13,8,318,150,3940,13.2,76,1,"plymouth volare premier v8"
"139",14,8,304,150,4257,15.5,74,1,"amc matador (sw)"
"231",16,8,351,149,4335,14.5,77,1,"ford thunderbird"
"63",14,8,400,175,4385,12,72,1,"pontiac catalina"
"129",26,4,122,80,2451,16.5,74,1,"ford pinto"
"336",26.6,4,151,84,2635,16.4,81,1,"buick skylark"
"182",25,4,116,81,2220,16.9,76,2,"opel 1900"
"184",26,4,98,79,2255,17.7,76,1,"dodge colt"
"265",30,4,98,68,2155,16.5,78,1,"chevrolet chevette"
"43",13,8,400,170,4746,12,71,1,"ford country squire (sw)"
